; 0; None

194-10003-10253; 0; None

194-10003-10254; 0; None

194-10003-10257; 0; None

194-10003-10270; 0; None

194-10003-10273; 0; None

194-10003-10274; 0; None

194-10003-10305; 0; None

194-10003-10382; 0; None

194-10003-10386; 0; None

194-10013-10325; 0; None

194-10013-10327; 0; None

194-10013-10329; 0; None

194-10013-10430; 0; None

194-10013-10431; 0; None

194-10013-10432; 0; None

US ARMY (IRR) Documents: Postponed in Part

194-10002-10023; 6; 10/2017

194-10002-10024; 5; 10/2017

194-10002-10026; 11; 10/2017

194-10002-10034; 2; 10/2017

194-10002-10035; 1; 10/2017

194-10002-10037; 2; 10/2017

194-10002-10042; 2; 10/2017

194-10002-10046; 0; 10/2017

194-10002-10146; 6; 10/2017

194-10002-10147; 1; 10/2017

194-10002-10148; 1; 10/2017
